Developer,State,Parking Lot,Ad List,Bus Stop,Firm Number,Park,Property Size,Nearby Mall,Tenure Type,Bedroom,REN Number,Facilities,Completion Year,price,Nearby School,Property Type
Mudajaya Group,Kuala Lumpur,2,102164246,Terminal Sentral Kuantan Bus terminal,31451,"Park 2 at Taman Daya, Selayang Municipal Council, Gombak, Selangor, Malaysia
Park 1 at Taman Daya, Selayang Municipal Council, Gombak, Selangor, Malaysia
Park4 at Taman Ehsan, Selayang Municipal Council, Gombak, Selangor, Malaysia
Desa Jaya Family Recreational Park, Taman Ehsan, Selayang Municipal Council, Gombak, Selangor, Malaysia
Park 2 at Taman Desa Jaya, Selayang Municipal Council, Gombak, Selangor, Malaysia
Park at Kepong, Kuala Lumpur, Malaysia
Kid's Plaground & Family Park, Taman Desa Jaya, Selayang Municipal Council, Gombak, Selangor, Malaysia
Park 1 at Taman Ehsan, Selayang Municipal Council, Gombak, Selangor, Malaysia",830,AEON Metro Prima Shopping Centre,Leasehold,3,REN 28677,"Jogging Track, Swimming Pool, Minimart, Lift, Playground",2008,168000,SJK (C) Kepong 2,Apartment
R&F Development Sdn Bhd,Sabah,1,102958432,Pudu Sentral,1158,Selangor State Park,2670,The Exchange TRX,Leasehold,3,REN 16290,"Parking, Jogging Track, Playground, Minimart, Squash Court",2008,390000,Sekolah Seni Malaysia,Others
Paramount Property,Selangor,2,103770527,Seremban Bus terminal,11572,Penang National Park,750,Sunway Pyramid,Freehold,3,REN 33707,"Gymnasium, Lift, Multipurpose hall, Barbeque area, Squash Court, Parking, Minimart",1997,200000,SM imtiaz Kemaman,Apartment
Maxim Holdings,Kuala Lumpur,1,99320652,Seremban Bus terminal,31451,Penang National Park,918,The Exchange TRX,Leasehold,3,REN 28677,"Squash Court, Playground, Multipurpose hall, Barbeque area, Sauna, Club house",2004,278000,SM imtiaz Kemaman,Apartment
Khoo Soon Lee Realty Sdn. Bhd.,Sabah,2,101888749,Pudu Sentral,16055,Gunung Ledang National Park,1309,Sunway Pyramid,Leasehold,3,REN 64052,"Tennis Court, Swimming Pool, Security, Barbeque area, Gymnasium, Multipurpose hall, Lift, Parking, Minimart",2008,1150000,MRSM Tun Ghafar Baba,Condominium
TLS Group,Selangor,1,92817548,Terminal Sentral Kuantan Bus terminal,21064,Selangor State Park,1288,Berjaya Times Square,Freehold,3,REN 02506,"Club house, Swimming Pool, Lift, Barbeque area, Parking, Tennis Court, Gymnasium, Playground, Sauna, Minimart, Squash Court",2020,355000,SM imtiaz Kemaman,Condominium
Bina Puri Holdings Bhd,Sabah,1,101889227,Seremban Bus terminal,16055,Penang National Park,850,Sunway Pyramid,Leasehold,3,REN 64052,"Parking, Minimart, Swimming Pool, Security, Lift, Sauna, Gymnasium, Multipurpose hall, Jogging Track, Playground, Club house, Tennis Court, Squash Court",1990,280000,SM imtiaz Kemaman,Apartment
The Private Residence Sdn Bhd,Johor,1,103214657,Terminal Sentral Kuantan Bus terminal,31142,Selangor State Park,770,The Exchange TRX,Freehold,3,REN 07325,"Tennis Court, Playground, Minimart, Barbeque area, Swimming Pool",2014,170000,SMK Bukit Jambul,Apartment
Mah Sing Group Berhad,Kuala Lumpur,2,103791374,Terminal Sentral Kuantan Bus terminal,77778,Selangor State Park,1001,One Utama,Freehold,4,REN 66961,"Barbeque area, Gymnasium, Playground, Parking, Swimming Pool, Lift, Sauna, Minimart, Tennis Court, Multipurpose hall, Squash Court",2011,550000,SM imtiaz Kemaman,Apartment
Gasing Heights Sdn Bhd,Selangor,2,103689427,"Bus Stop at Jalan 5/46
Bus Stop at Jalan 18/2
Bus Stop at Jalan Templer 4",31641,Taman Negara,1668,Sunway Pyramid,Freehold,3,REN 23325,"Minimart, Gymnasium, Jogging Track, Squash Court, Lift, Multipurpose hall",1999,735000,SM Sains T. Munawir,Condominium
Asia Green Group,Selangor,1,101187396,Pudu Sentral,31641,Taman Negara,936,Berjaya Times Square,Freehold,3,REN 23325,"Playground, Jogging Track, Gymnasium, Security, Squash Court",2023,570000,SM imtiaz Kemaman,Condominium
Aset Kayamas Sdn Bhd,Kuala Lumpur,1,103791353,Terminal Sentral Kuantan Bus terminal,11584,"Park at Sri Rakyat Apartment, Bukit Jalil, Kuala Lumpur, Malaysia
Jalil Sutera Park, Bukit Jalil, Kuala Lumpur, Malaysia
Park 2 at Bandar Kinrara 9, Bandar Kinrara, Subang Jaya, Petaling, Selangor, 47100, Malaysia
Taman Rekreasi Bukit Jalil, Bukit Jalil, Kuala Lumpur, Malaysia",1023,Pavilion Bukit Jalil,Leasehold,3,REN 07646,"Security, Lift, Gymnasium, Jogging Track, Squash Court, Barbeque area, Club house, Swimming Pool, Tennis Court, Parking, Minimart, Multipurpose hall, Sauna, Playground",2013,539000,SJK(C) Lai Meng,Condominium
Daya Niaga,Selangor,2,103791198,Terminal Sentral Kuantan Bus terminal,11605,Selangor State Park,950,The Exchange TRX,Leasehold,3,REN 20478,"Tennis Court, Squash Court",1999,298000,MRSM Tun Ghafar Baba,Condominium
SC Land Group,Sabah,2,102348665,Seremban Bus terminal,11605,Selangor State Park,848,One Utama,Leasehold,3,REN 63695,"Swimming Pool, Sauna, Gymnasium, Squash Court, Playground, Tennis Court, Jogging Track, Multipurpose hall, Minimart, Parking, Barbeque area, Lift, Security",2000,530000,Sekolah Seni Malaysia,Condominium
Akisama Group of companies,Selangor,2,103791217,Bus Stop at Greenwod Bus Hub,14701,Selangor State Park,603,Sunway Pyramid,Leasehold,2,REN 69140,"Security, Sauna, Gymnasium, Minimart, Barbeque area, Playground",2020,102000,Sekolah Menengah Kebangsaan Sri Gombak,Flat
SYF Development,Penang,1,103791338,Seremban Bus terminal,31402,Penang National Park,550,The Exchange TRX,Freehold,2,REN 39049,"Lift, Tennis Court, Parking, Gymnasium, Minimart, Squash Court, Multipurpose hall, Barbeque area",2021,110000,SM Sains T. Munawir,Flat
Shanghai Realty (M) Sdn Bhd,Selangor,2,103150150,"Bus Stop at Persiaran Teknologi 1
Bus Stop at Federal Highway 4
Bus Stop at Persiaran Jubli Perak 5
Bus Stop at Persiaran Teknologi 2
Bus Stop at Lorong Intan 2
Bus Stop at Batu Tiga Federal Highway
Bus Stop at Jalan Batu Tiga Lama 3
Bus Stop at Seksyen 15 (Timur)",11584,"Park at Taman Mutiara Subang, Batu Tiga
Park at Taman Batu Tiga, Batu Tiga
Park at Section 21, Shah Alam",1149,The Exchange TRX,Freehold,4,REN 07646,Club house,2017,404800,Sekolah Kafa Integrasi Nurul Hidayah,Condominium
Sime Darby Property Berhad,Selangor,2,102988049,Pudu Sentral,11584,"Park at USJ 22, UEP Subang Jaya
Park at USJ 20, UEP Subang Jaya
Park at USJ 23, UEP Subang Jaya
Park at USJ18 Playground and Park, USJ 18",850,Main Place Mall,Freehold,3,REN 07646,"Lift, Club house, Tennis Court, Swimming Pool, Squash Court, Sauna, Minimart, Playground",1996,338800,Sekolah Kebangsaan USJ 20,Apartment
WCT Holding Berhad,Selangor,2,101987861,Seremban Bus terminal,31954,"Park 1 at Bandar Parklands (Bandar Bukit Tinggi 3), Bandar Bukit Tinggi
Park 2 at Bandar Parklands (Bandar Bukit Tinggi 3), Bandar Bukit Tinggi",850,Berjaya Times Square,Freehold,4,PEA 2563,"Swimming Pool, Parking, Club house, Sauna, Lift, Squash Court, Gymnasium, Playground, Jogging Track, Minimart, Tennis Court, Multipurpose hall, Security",2000,299000,Sekolah Jenis Kebangsaan (C) Wu Teck,Apartment
One Medini Sdn Bhd,Johor,1,103791160,Seremban Bus terminal,11605,Gunung Ledang National Park,1019,Berjaya Times Square,Leasehold,2,REN 32499,"Club house, Security, Lift, Parking, Swimming Pool, Sauna",2007,400000,SM imtiaz Kemaman,Condominium
Scientex Berhad,Kuala Lumpur,1,103791154,"Bus Stop Jalan Sri Permaisuri 4
Bus Stop Apartment Blok A
Bus Stop Chengal Condominium
Bus Stop JPJ Cheras
Bus Stop Dataran Dwitasik
Bus Stop Cendana Apartment
Bus Stop T582 T583 T584
Bus Stop Wisma Zelan",11605,"Park at Bandar Tun Razak, Cheras, Kuala Lumpur, 56000, Malaysia",750,Sunway Pyramid,Leasehold,3,REN 20478,"Security, Playground, Tennis Court, Sauna, Minimart, Lift",1990,250000,SMK Seri Tasik,Apartment
HR Utama Sdn Bhd,Kuala Lumpur,1,103791129,KL Central,11605,"BK1 Park @ Hindu Temple, Bandar Kinrara 1, Bandar Kinrara, Subang Jaya, Petaling, Selangor, Malaysia
Park at Bandar Kinrara 2, Bandar Kinrara, Subang Jaya, Petaling, Selangor, 47100, Malaysia
Park 2 at Bandar Kinrara 9, Bandar Kinrara, Subang Jaya, Petaling, Selangor, 47100, Malaysia
Park 1 at Bandar Kinrara 9, Bandar Kinrara, Subang Jaya, Petaling, Selangor, 47100, Malaysia",1091,One Utama,Freehold,3,REN 20478,"Sauna, Jogging Track, Minimart, Squash Court, Multipurpose hall, Playground, Club house, Tennis Court, Barbeque area, Lift, Swimming Pool, Parking, Security, Gymnasium",1993,340000,Sekolah Seni Malaysia,Condominium
Mega City Avenue Sdn. Bhd.,Sabah,1,102768584,KL Central,11605,Selangor State Park,1338,The Exchange TRX,Leasehold,3,REN 63695,"Playground, Tennis Court, Gymnasium, Jogging Track, Sauna, Club house, Multipurpose hall, Barbeque area, Lift, Squash Court",2023,950000,SM imtiaz Kemaman,Condominium
SCP Group,Sabah,2,102568234,Seremban Bus terminal,11605,Taman Negara,870,The Exchange TRX,Leasehold,3,REN 63695,"Jogging Track, Sauna, Tennis Court, Parking",2015,438000,MRSM Tun Ghafar Baba,Service Residence
Paramount Property,Selangor,1,103791297,Pudu Sentral,11605,Taman Negara,890,Sunway Pyramid,Freehold,2,E 11605,"Playground, Squash Court, Gymnasium, Sauna, Minimart, Lift",2017,530000,Sekolah Kebangsaan Perdana Jaya SS19,Apartment
IOI Properties Group Berhad,Selangor,2,103791296,Seremban Bus terminal,2552,Penang National Park,1431,Sunway Pyramid,Freehold,3,REN 00000,"Club house, Security, Lift, Jogging Track, Sauna, Playground, Swimming Pool, Barbeque area, Parking, Tennis Court",2012,360000,SMK Bukit Jambul,Condominium
Intan Permata Properties,Kuala Lumpur,2,103791288,Pudu Sentral,10187,Penang National Park,1400,One Utama,Freehold,3,REN 08342,"Minimart, Barbeque area, Lift, Gymnasium, Multipurpose hall, Security, Squash Court, Swimming Pool, Parking, Playground, Club house, Jogging Track, Sauna",1990,630000,Sekolah Seni Malaysia,Condominium
Hua Yang Berhad,Penang,2,103791287,Terminal Sentral Kuantan Bus terminal,21483,Gunung Ledang National Park,820,Sunway Pyramid,Freehold,3,REN 18352,"Parking, Gymnasium, Multipurpose hall, Squash Court, Barbeque area, Swimming Pool, Playground, Lift, Security, Club house, Sauna, Jogging Track, Minimart",2024,330000,MRSM Tun Ghafar Baba,Apartment
IOI Properties Group Berhad,Selangor,1,102900624,KL Central,31487,Taman Negara,700,One Utama,Leasehold,3,REN 14226,"Barbeque area, Club house, Parking, Playground, Jogging Track, Security, Gymnasium, Sauna",1992,190000,SM imtiaz Kemaman,Apartment
Talam Transform Berhad,Selangor,1,102900042,Pudu Sentral,31487,Gunung Ledang National Park,710,The Exchange TRX,Leasehold,3,REN 14226,"Jogging Track, Club house, Gymnasium, Multipurpose hall, Playground",2003,249000,SM Sains T. Munawir,Apartment
Tasek Maju Realty Sdn Bhd,Selangor,2,102900034,Seremban Bus terminal,31487,Penang National Park,710,Sunway Pyramid,Leasehold,3,REN 14226,"Gymnasium, Sauna, Minimart, Lift, Jogging Track, Tennis Court, Playground",2019,299000,Sekolah Seni Malaysia,Apartment
i-Berhad,Johor,1,101531112,KL Central,21742,Penang National Park,862,One Utama,Freehold,2,REN 36387,"Jogging Track, Squash Court, Parking, Multipurpose hall, Sauna, Minimart, Playground, Swimming Pool, Club house, Tennis Court, Gymnasium, Security, Barbeque area",2009,305000,SM Sains T. Munawir,Service Residence
IJM LAND BERHAD,Johor,1,103791271,Pudu Sentral,77778,Selangor State Park,770,Berjaya Times Square,Freehold,2,REN 29083,"Squash Court, Jogging Track, Playground, Barbeque area, Minimart, Security, Multipurpose hall, Club house, Parking, Lift, Sauna, Tennis Court",1996,488000,SM Sains T. Munawir,Service Residence
Titijaya Land Berhad,Johor,2,101513680,Pudu Sentral,21742,Selangor State Park,1036,Sunway Pyramid,Freehold,3,REN 36387,"Multipurpose hall, Squash Court, Jogging Track, Gymnasium, Parking, Swimming Pool",2006,364000,SMK Bukit Jambul,Service Residence
Sunray Development,Johor,1,103253282,KL Central,21742,Taman Negara,953,One Utama,Freehold,2,REN 36387,"Security, Parking, Lift, Sauna, Swimming Pool, Jogging Track",2003,505000,SM Sains T. Munawir,Apartment
Syarikat Perumahan Negara Berhad,Sabah,2,103331391,Seremban Bus terminal,77778,Taman Negara,850,One Utama,Leasehold,3,REN 66961,Parking,2002,275000,SMK Bukit Jambul,Apartment
Tropicana Corporation Berhad,Penang,1,103791254,Pudu Sentral,22851,Gunung Ledang National Park,993,Berjaya Times Square,Freehold,3,REN 22851,"Playground, Swimming Pool",2021,1150000,SM imtiaz Kemaman,Condominium
Parkland Group,Selangor,2,99060601,KL Central,11572,Penang National Park,850,The Exchange TRX,Freehold,3,REN 42697,"Playground, Swimming Pool, Gymnasium, Barbeque area, Squash Court, Lift, Security, Minimart, Parking, Multipurpose hall",1996,219999,MRSM Tun Ghafar Baba,Apartment
Mah Sing Group Bhd,Kuala Lumpur,2,103302624,KL Central,11718,Selangor State Park,878,Berjaya Times Square,Freehold,3,REN 16293,"Playground, Minimart, Multipurpose hall, Lift, Barbeque area, Parking",1990,470000,SM imtiaz Kemaman,Service Residence
LBS Bina Group Berhad,Kuala Lumpur,1,99062291,KL Central,11718,"Park 1 at Bandar Kinrara 9, Bandar Kinrara, Subang Jaya, Petaling, Selangor, 47100, Malaysia
Park 2 at Bandar Kinrara 9, Bandar Kinrara, Subang Jaya, Petaling, Selangor, 47100, Malaysia",1710,One Utama,Leasehold,4,REN 16293,"Club house, Tennis Court, Jogging Track, Multipurpose hall, Parking, Security",2022,960000,Tzu Chi International School,Condominium
i-Berhad,Melaka,2,101645655,Terminal Sentral Kuantan Bus terminal,31487,Selangor State Park,700,Sunway Pyramid,Leasehold,3,REN 14226,"Minimart, Lift, Squash Court, Gymnasium, Jogging Track, Multipurpose hall, Sauna, Barbeque area",1999,215000,SMK Bukit Jambul,Apartment
Kenwingston Group,Selangor,1,101645678,KL Central,31487,Taman Negara,700,Berjaya Times Square,Leasehold,3,REN 14226,"Parking, Jogging Track, Swimming Pool, Minimart, Sauna, Club house, Playground, Lift, Tennis Court, Multipurpose hall, Gymnasium, Security, Squash Court",2011,239000,Sekolah Seni Malaysia,Apartment
Maxim Holdings,Perak,2,101848068,KL Central,31487,Taman Negara,700,Berjaya Times Square,Leasehold,3,REN 14226,"Multipurpose hall, Jogging Track, Tennis Court, Security, Swimming Pool, Barbeque area, Minimart, Squash Court",2018,235000,Sekolah Seni Malaysia,Apartment
Masteron Group,Johor,2,101645434,Pudu Sentral,31487,Taman Negara,700,Berjaya Times Square,Leasehold,3,REN 14226,"Barbeque area, Minimart, Lift, Swimming Pool, Parking, Gymnasium, Playground, Squash Court, Club house, Multipurpose hall, Tennis Court, Security, Sauna, Jogging Track",1993,239000,SMK Bukit Jambul,Apartment
Talam Transform Berhad,Selangor,2,101984721,KL Central,31487,Selangor State Park,700,The Exchange TRX,Leasehold,3,REN 14226,"Security, Club house, Squash Court, Jogging Track, Tennis Court, Swimming Pool, Playground, Multipurpose hall, Parking, Minimart",1991,190000,MRSM Tun Ghafar Baba,Apartment
Eco World Development Group Berhad,Selangor,1,101984712,Seremban Bus terminal,31487,Selangor State Park,700,Berjaya Times Square,Leasehold,3,REN 14226,Barbeque area,2011,180000,SM imtiaz Kemaman,Apartment
UEM Sunrise Berhad,Melaka,2,100701657,Pudu Sentral,31487,Selangor State Park,650,Sunway Pyramid,Leasehold,3,REN 14226,"Lift, Sauna",2024,130000,SM Sains T. Munawir,Apartment
Palm Grove Homes / Kenmeiwood Construction & Engineering Works,Penang,1,101816977,Pudu Sentral,31487,Taman Negara,700,The Exchange TRX,Leasehold,3,REN 14226,"Minimart, Parking, Gymnasium, Swimming Pool, Sauna, Lift, Jogging Track, Club house, Barbeque area, Playground, Squash Court, Multipurpose hall, Security, Tennis Court",2013,210000,Sekolah Seni Malaysia,Apartment
X-Scan Penang Sdn Bhd,Selangor,2,101984714,KL Central,31487,Penang National Park,850,Sunway Pyramid,Leasehold,3,REN 14226,"Swimming Pool, Gymnasium, Sauna, Minimart, Parking, Security, Club house, Lift, Tennis Court",2017,234000,SMK Bukit Jambul,Apartment
Eco World Development Group Berhad,Kuala Lumpur,1,101862249,Terminal Sentral Kuantan Bus terminal,31487,Penang National Park,850,The Exchange TRX,Leasehold,3,REN 14226,"Lift, Jogging Track, Tennis Court, Squash Court, Multipurpose hall, Playground, Sauna, Minimart, Club house, Gymnasium, Barbeque area",2004,287000,SM Sains T. Munawir,Apartment
Mahumas Sdn Bhd,Penang,1,101862370,Terminal Sentral Kuantan Bus terminal,31487,Taman Negara,710,Sunway Pyramid,Leasehold,3,REN 14226,"Security, Playground, Gymnasium",1993,184000,SMK Bukit Jambul,Apartment
VILLAMAS,Selangor,1,103354341,Pudu Sentral,11605,Taman Negara,1058,The Exchange TRX,Freehold,3,REN 20478,"Lift, Security, Tennis Court, Jogging Track, Squash Court, Club house, Sauna, Swimming Pool, Parking, Multipurpose hall, Minimart, Gymnasium, Barbeque area",1999,330000,SMK Bukit Jambul,Apartment
Ibraco Berhad,Selangor,2,102186273,Pudu Sentral,11572,Selangor State Park,811,Sunway Pyramid,Freehold,3,REN 33707,"Jogging Track, Squash Court, Swimming Pool, Club house",2012,260000,MRSM Tun Ghafar Baba,Apartment
BSG Property,Selangor,1,103638368,Seremban Bus terminal,31484,Selangor State Park,687,Sunway Pyramid,Leasehold,3,REN 25362,"Gymnasium, Playground, Minimart, Jogging Track, Barbeque area, Lift, Squash Court, Multipurpose hall, Swimming Pool, Sauna",2017,140000,SM imtiaz Kemaman,Apartment
Land & General Berhad,Kuala Lumpur,1,103638367,Terminal Sentral Kuantan Bus terminal,31484,Taman Negara,1175,Berjaya Times Square,Freehold,3,REN 25362,"Gymnasium, Lift, Jogging Track, Multipurpose hall, Tennis Court, Squash Court, Barbeque area, Club house, Security, Parking, Playground, Swimming Pool, Minimart",2013,430000,SM imtiaz Kemaman,Condominium
MK Land Holdings,Selangor,1,103436724,KL Central,11685,Gunung Ledang National Park,1396,The Exchange TRX,Leasehold,4,PEA 3045,"Squash Court, Parking, Jogging Track, Lift, Security, Minimart, Gymnasium, Club house, Multipurpose hall",1998,490000,SM imtiaz Kemaman,Condominium
The W Property Collection,Sabah,2,103790822,Pudu Sentral,11584,Selangor State Park,391,Sunway Pyramid,Leasehold,1,REN 42840,Barbeque area,2005,180000,Sekolah Seni Malaysia,Condominium
Vienna View Development (Mah Sing Group),Penang,2,103790789,Pudu Sentral,21483,Penang National Park,841,One Utama,Freehold,3,REN 18352,"Security, Playground, Gymnasium, Barbeque area, Minimart, Swimming Pool, Sauna, Squash Court",1999,660000,SMK Bukit Jambul,Condominium
B&G Property,Selangor,1,103791025,"Bus Stop at Batu Tiga Federal Highway
Bus Stop at Federal Highway 4
Bus Stop at Seksyen 15 (Timur)
Bus Stop at Persiaran Teknologi 1
Bus Stop at Persiaran Jubli Perak 5
Bus Stop at Persiaran Teknologi 2
Bus Stop at Lorong Intan 2
Bus Stop at Jalan Batu Tiga Lama 3",4524,"Park at Section 21, Shah Alam
Park at Taman Mutiara Subang, Batu Tiga",1162,AEON Mall Shah Alam,Freehold,3,REN 24531,"Squash Court, Sauna, Playground, Parking, Swimming Pool, Tennis Court, Club house, Gymnasium",2004,415000,MRSM Tun Ghafar Baba,Service Residence
Dynasty View Sdn Bhd (UM Land),Johor,2,103790673,KL Central,77778,Penang National Park,661,The Exchange TRX,Freehold,1,REN 41180,"Lift, Playground, Sauna, Swimming Pool, Gymnasium, Jogging Track, Security, Barbeque area, Club house, Minimart, Tennis Court, Parking",2016,308000,Sekolah Seni Malaysia,Service Residence
Ibraco Berhad,Sabah,1,103790703,Terminal Sentral Kuantan Bus terminal,11584,Selangor State Park,1000,One Utama,Leasehold,3,REN 42840,"Barbeque area, Parking, Sauna, Tennis Court",2021,398000,MRSM Tun Ghafar Baba,Condominium
Syarikat Kapasi (Asian Pac),Sabah,2,103790693,Pudu Sentral,11584,Selangor State Park,1058,Berjaya Times Square,Leasehold,2,REN 42840,"Tennis Court, Security, Multipurpose hall, Parking, Swimming Pool, Gymnasium, Playground, Sauna, Jogging Track, Lift, Barbeque area, Squash Court, Club house",2018,950000,SM imtiaz Kemaman,Service Residence
Aikbee Timbers Sdn. Bhd.,Kuala Lumpur,2,103790692,"Bus Stop KL 1284 Wisma Buddist
Bus Stop KL 1179 Saville Residence
Bus Stop KL 1180 Wisma Buddist
Bus Stop KL 1283 Batu 3 1/2 Klang Lama
Bus Stop KL 1285 Saville Residence
Bus Stop KL 1181 Batu 3 1/2 KLang Lama
Bus Stop KL 1282 3Rd Mile Square
Bus Stop KL 1281 Taman Shanghai (Utara)
Bus Stop KL 1183 Taman Shanghai (Utara)
Bus Stop KTM Angkasapuri
Bus Stop 1 Flat Sri Labuan
Bus Stop KL 1188 Wisma Tm Taman Desa
Bus Stop Jalan Desa Utama
Bus Stop Jalan 2/112A
Bus Stop KL 1190 Taman Bukit Desa (Selatan)
Bus Stop KL 1280 Taman Shanghai (Selatan)
Bus Stop KL 1187 Papillion Desahill Condominium
Bus Stop Mid Valley Megamall South Court
Bus Stop KL 1184 Taman Shanghai (Selatan)",11605,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",1213,Sunway Pyramid,Leasehold,2,REN 08458,"Minimart, Playground, Multipurpose hall, Swimming Pool, Jogging Track, Barbeque area, Parking, Tennis Court, Squash Court, Lift, Sauna",1990,700000,MRSM Tun Ghafar Baba,Condominium
Bukit Hitam Development Sdn Bhd,Selangor,2,103372856,Terminal Sentral Kuantan Bus terminal,31484,"Park at Baiduri Park, Pangsapuri Baiduri
Park 4 at Bandar Bukit Puchong 1, Bandar Bukit Puchong
Park 3 at Bandar Bukit Puchong 2, Sepang
Park 3 at Bandar Bukit Puchong 1, Bandar Bukit Puchong",773,Berjaya Times Square,Freehold,3,REN 31432,"Club house, Lift, Sauna, Security, Multipurpose hall, Minimart, Gymnasium, Squash Court, Jogging Track, Parking, Tennis Court, Swimming Pool, Barbeque area",2019,235000,SM imtiaz Kemaman,Apartment
Hua Yang Berhad,Selangor,2,102783369,"Bus Stop at Jalan Utama 1
Bus Stop at Jalan Utama 2",10598,"Park at Serdang Raya 7, Serdang Raya
Park at Serdang Raya 6, Serdang Raya
Park at Serdang Raya 8, Serdang Raya",1200,Berjaya Times Square,Leasehold,3,REN 04159,"Lift, Sauna",2015,400000,Sekolah Seni Malaysia,Condominium
BCB Berhad,Johor,2,103790933,Terminal Sentral Kuantan Bus terminal,11605,Selangor State Park,780,Sunway Pyramid,Leasehold,2,REN 32499,"Barbeque area, Multipurpose hall, Jogging Track, Sauna, Lift, Club house, Tennis Court, Gymnasium, Playground, Swimming Pool, Parking",2022,400000,Sekolah Seni Malaysia,Condominium
SETIA HARUMAN SDN BHD,Selangor,2,100598613,"Bus Stop at Persiaran Ceria
Bus Stop at Persiaran Multimedia 2
Bus Stop at Persiaran Multimedia 1",10028,"Park at Cyberjaya, Sepang",1711,The Exchange TRX,Freehold,4,REN 27386,"Playground, Multipurpose hall, Parking, Minimart, Security",2020,790000,SM Sains T. Munawir,Condominium
Kerjaya Prospek Group Berhad,Kuala Lumpur,2,103316101,"Bus Stop Jalan Semarak Api
Bus Stop Diamond Square
Bus Stop Diamond Square (Opp)
Bus Stop Kg Puah
Bus Stop SMJK Chong Hwa
Bus Stop Taman Genting Setapak
Bus Stop SMJK Chong Hwa (Opp)
Bus Stop Taman P. Ramlee
Bus Stop KFC Genting Klang
Bus Stop BSN Genting Klang
Bus Stop Courts Megastore Setapak (Opp)
Bus Stop Sri Pelangi Condominium (Opp)
Bus Stop Courts Megastore Setapak
Bus Stop Rumah 148
Bus Stop Jalan Genting Klang
Bus Stop Sri Pelangi Condominium
Bus Stop Saad Mosque
Bus Stop Abi Waqqas Mosque (Opp)
Bus Stop 1 Tadika Ayer Panas
Bus Stop 2 Tadika Ayer Panas
Bus Stop KL Traders Square
Bus Stop KL Traders Square (Opp)
Bus Stop Guan Ying Ting
Bus Stop PV128 Setapak
Bus Stop Perumahan Taman Setapak",10598,"Park 1 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 2 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park at Desa Gombak, Setapak, Kuala Lumpur, Malaysia
Park at Taman Ayer Panas, Setapak, Kuala Lumpur, Malaysia",1100,The Exchange TRX,Freehold,3,REN 04159,Club house,1999,455000,SJK (C) Mun Yee,Condominium
Majlis Perbandaran Kajang,Kuala Lumpur,1,103314204,"Bus Stop Itbm Wangsa Maju (Timur)
Bus Stop Sri Ledang Seksyen 10
Bus Stop Surau Darul Huda
Bus Stop Itbm Wangsa Maju (Opp)
Bus Stop Seasons Garden Residence
Bus Stop Wisma Felcra
Bus Stop SMK Taman Sri Rampai",10598,Selangor State Park,1100,One Utama,Leasehold,3,REN 04159,"Sauna, Tennis Court, Gymnasium, Parking, Playground, Jogging Track, Club house, Swimming Pool, Barbeque area, Lift",2000,398000,SMK Bukit Jambul,Condominium
Platinum Victory Development Sdn Bhd,Kuala Lumpur,2,102987584,Terminal Sentral Kuantan Bus terminal,10598,Penang National Park,1331,Berjaya Times Square,Freehold,4,REN 04159,"Tennis Court, Minimart, Security, Multipurpose hall, Club house, Swimming Pool, Jogging Track, Sauna, Squash Court, Gymnasium, Parking",2005,390000,MRSM Tun Ghafar Baba,Condominium
Amber Resources,Kuala Lumpur,1,103399608,"Bus Stop Flat Sri Johor Blok 33 Jalan Jelawat 2
Bus Stop 1 Velodrom KL
Bus Stop 1 Kompleks Darul Puteri
Bus Stop 2 Kompleks Darul Puteri
Bus Stop 2 Velodrom KL
Bus Stop Jalan 2/90
Bus Stop Klinik Kesihatan Cheras
Bus Stop Stadium Badminton Kuala Lumpur
Bus Stop Stadium Badminton Cheras
Bus Stop 2 Jalan Cheras",10598,Selangor State Park,1400,One Utama,Leasehold,3,REN 04159,"Tennis Court, Minimart, Gymnasium, Squash Court, Multipurpose hall, Playground",2015,385000,SJK (C) Naam Kheung,Condominium
Elite Forward Sdn Bhd (L&G / Mayland),Putrajaya,1,103628756,KL Central,77778,Gunung Ledang National Park,1200,Berjaya Times Square,Freehold,3,REN 66961,"Security, Multipurpose hall, Gymnasium, Playground, Squash Court, Tennis Court, Sauna, Minimart, Jogging Track, Barbeque area, Swimming Pool, Parking, Club house",2010,450000,MRSM Tun Ghafar Baba,Condominium
